 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "2.3.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "13/02/2023"
 Time_of_run_____________________________________________________________ (time)________________________     "09:50"
 User____________________________________________________________________ (username)____________________     "matti"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Run Title (change this line using input variable 'runtitle')
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v2.1-1495-g7e1b031b"
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "develop"
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Merge\ branch\ |1618-input-will-not-accept-long-arra"
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/matti/code/bluemira/eudemo/config/IN.DAT                                                                                                                                                          "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             40
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             24
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      8.3232E-10 OP
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      5.0794E-11 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             10 OP
 bt______________________________________________________________________ (itvar001)____________________      5.2331E+00
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.8197E-01
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      2.6129E-01
 rmajor__________________________________________________________________ (itvar002)____________________      9.2653E+00
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0422E+00
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      7.1049E-01
 te______________________________________________________________________ (itvar003)____________________      1.2302E+01
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      9.9770E-01
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      4.7034E-02
 beta____________________________________________________________________ (itvar004)____________________      3.0657E-02
 beta_(final_value/initial_value)________________________________________ (xcm004)______________________      9.7568E-01
 beta_(range_normalised)_________________________________________________ (nitvar004)___________________      2.9686E-02
 dene____________________________________________________________________ (itvar005)____________________      7.0026E+19
 dene_(final_value/initial_value)________________________________________ (xcm005)______________________      9.4221E-01
 dene_(range_normalised)_________________________________________________ (nitvar005)___________________      6.0633E-02
 fdene___________________________________________________________________ (itvar006)____________________      1.2000E+00
 fdene_(final_value/initial_value)_______________________________________ (xcm006)______________________      1.0000E+00
