         x      0.00000000000E+0000      0.25000000000E-0001      0.50000000000E-0001      0.75000000000E-0001      0.10000000000E+0000      0.12500000000E+0000      0.15000000000E+0000      0.17500000000E+0000      0.20000000000E+0000      0.22500000000E+0000      0.25000000000E+0000      0.27500000000E+0000      0.30000000000E+0000      0.32500000000E+0000      0.35000000000E+0000      0.37500000000E+0000      0.40000000000E+0000      0.42500000000E+0000      0.45000000000E+0000      0.47500000000E+0000      0.50000000000E+0000      0.52500000000E+0000      0.55000000000E+0000      0.57500000000E+0000      0.60000000000E+0000      0.62500000000E+0000      0.65000000000E+0000      0.67500000000E+0000      0.70000000000E+0000      0.72500000000E+0000      0.75000000000E+0000      0.77500000000E+0000      0.80000000000E+0000      0.82500000000E+0000      0.85000000000E+0000      0.87500000000E+0000      0.90000000000E+0000      0.92500000000E+0000      0.95000000000E+0000      0.97500000000E+0000      0.10000000000E+0001
        ne      0.97947282131E+0001      0.98235428708E+0001      0.98285258566E+0001      0.98096771706E+0001      0.97669968127E+0001      0.97004847829E+0001      0.96101410813E+0001      0.95019684900E+0001      0.94125626458E+0001      0.93198083945E+0001      0.92237057360E+0001      0.91251963674E+0001      0.90241897196E+0001      0.89204414669E+0001      0.88138431956E+0001      0.87041630791E+0001      0.85915644691E+0001      0.84760473654E+0001      0.83558862080E+0001      0.82317965970E+0001      0.81039112118E+0001      0.79718136377E+0001      0.78351649325E+0001      0.76942864636E+0001      0.75494564180E+0001      0.74051189013E+0001      0.72587430662E+0001      0.71103289126E+0001      0.69635343507E+0001      0.68189023507E+0001      0.66749763718E+0001      0.65325756414E+0001      0.63947002297E+0001      0.62594276336E+0001      0.61267578532E+0001      0.60003325914E+0001      0.58792296995E+0001      0.57628309394E+0001      0.54223552004E+0001      0.45336960855E+0001      0.33501468690E+0001
        Te      0.52468831957E+0002      0.53242394598E+0002      0.53376168586E+0002      0.52870153922E+0002      0.51724350605E+0002      0.49938758635E+0002      0.47513378012E+0002      0.44652954904E+0002      0.42605713235E+0002      0.40617337272E+0002      0.38687827016E+0002      0.36807697818E+0002      0.34977861880E+0002      0.33200780017E+0002      0.31472050276E+0002      0.29782259747E+0002      0.28138041035E+0002      0.26539394141E+0002      0.24969138389E+0002      0.23434398707E+0002      0.21936496130E+0002      0.20479977179E+0002      0.19068542508E+0002      0.17698683349E+0002      0.16373839435E+0002      0.15148961375E+0002      0.13992755672E+0002      0.12905222327E+0002      0.11900059878E+0002      0.10979301700E+0002      0.10137493180E+0002      0.93704611066E+0001      0.86629228775E+0001      0.80246718802E+0001      0.74557081146E+0001      0.69369233695E+0001      0.64731562079E+0001      0.60676505592E+0001      0.51625169513E+0001      0.29674123971E+0001      0.10000000000E+0000
        Ti      0.46917075710E+0002      0.47553661961E+0002      0.47663748304E+0002      0.47247334737E+0002      0.46304421262E+0002      0.44835007877E+0002      0.42839094584E+0002      0.40482172585E+0002      0.38773150039E+0002      0.37102332418E+0002      0.35469719720E+0002      0.33872848345E+0002      0.32311955232E+0002      0.30787679571E+0002      0.29299469175E+0002      0.27846143279E+0002      0.26428533884E+0002      0.25046640990E+0002      0.23695253273E+0002      0.22376531900E+0002      0.21090877574E+0002      0.19842179500E+0002      0.18633603310E+0002      0.17462147516E+0002      0.16329994707E+0002      0.15272012282E+0002      0.14268343811E+0002      0.13318989296E+0002      0.12425368908E+0002      0.11587693456E+0002      0.10805397442E+0002      0.10072328660E+0002      0.93659572989E+0001      0.87007208979E+0001      0.80766194576E+0001      0.74464640846E+0001      0.68222039058E+0001      0.62118500021E+0001      0.51380650625E+0001      0.29246215990E+0001      0.10000000000E+0000
       psi      0.00000000000E+0000      0.13129778900E+0000      0.52058234311E+0000      0.11662682028E+0001      0.20659237289E+0001      0.32108916955E+0001      0.45889680068E+0001      0.61968225111E+0001      0.80450772157E+0001      0.10142424797E+0002      0.12493897835E+0002      0.15106140122E+0002      0.17983039224E+0002      0.21127250028E+0002      0.24540915910E+0002      0.28225735292E+0002      0.32183037540E+0002      0.36413689022E+0002      0.40918095903E+0002      0.45696387814E+0002      0.50748639779E+0002      0.56075266503E+0002      0.61681436826E+0002      0.67550358572E+0002      0.73480472145E+0002      0.79316642977E+0002      0.85085190497E+0002      0.90773893137E+0002      0.96382437623E+0002      0.10191146790E+0003      0.10736217393E+0003      0.11273635233E+0003      0.11803640393E+0003      0.12326600332E+0003      0.12842928028E+0003      0.13353347655E+0003      0.13859164544E+0003      0.14361475450E+0003      0.14852374010E+0003      0.15340776346E+0003      0.15836485047E+0003
       phi      0.49087199919E-0003      0.13178866100E+0000      0.52107321511E+0000      0.11667590748E+0001      0.20664146009E+0001      0.32113825675E+0001      0.45894588788E+0001      0.61973133831E+0001      0.80455680877E+0001      0.10142915669E+0002      0.12494388707E+0002      0.15106630994E+0002      0.17983530096E+0002      0.21127740900E+0002      0.24541406782E+0002      0.28226226164E+0002      0.32183528412E+0002      0.36414179894E+0002      0.40918586775E+0002      0.45696878688E+0002      0.50749130774E+0002      0.56075765788E+0002      0.61682498668E+0002      0.67589170816E+0002      0.73848748550E+0002      0.80528748681E+0002      0.87680368097E+0002      0.95347516377E+0002      0.10357581891E+0003      0.11241927449E+0003      0.12194336602E+0003      0.13222848789E+0003      0.14337580874E+0003      0.15551714506E+0003      0.16882494716E+0003      0.18356386773E+0003      0.20009535357E+0003      0.21876685665E+0003      0.23856148800E+0003      0.25901990402E+0003      0.28281289614E+0003
     press      0.25448310386E+0007      0.26087864699E+0007      0.26199361287E+0007      0.25779006855E+0007      0.24841112439E+0007      0.23417716871E+0007      0.21557800073E+0007      0.19467150671E+0007      0.18012861284E+0007      0.16645727419E+0007      0.15362225584E+0007      0.14156457964E+0007      0.13025596373E+0007      0.11967220835E+0007      0.10976709340E+0007      0.10048138815E+0007      0.91815059802E+0006      0.83742564174E+0006      0.76171588099E+0006      0.69114526276E+0006      0.62556101083E+0006      0.56487165211E+0006      0.50891433154E+0006      0.45734749165E+0006      0.41006555099E+0006      0.36830694582E+0006      0.33068207614E+0006      0.29682297507E+0006      0.26672480138E+0006      0.24006207273E+0006      0.21637877331E+0006      0.19531127957E+0006      0.17631677235E+0006      0.15940306426E+0006      0.14439432368E+0006      0.13060887089E+0006      0.11808013699E+0006      0.10679722722E+0006      0.84138829873E+0005      0.40172096115E+0005      0.10127671566E+0004
    pprime     -0.48710211773E+0006     -0.14427129705E+0006      0.29842190479E+0005      0.87893125566E+0005      0.11548776519E+0006      0.13013296619E+0006      0.13230601894E+0006      0.10257021889E+0006      0.71508049726E+0005      0.59580637656E+0005      0.50149319335E+0005      0.42568209476E+0005      0.36359361606E+0005      0.31243146610E+0005      0.27035091906E+0005      0.23490902688E+0005      0.20443232196E+0005      0.17908834737E+0005      0.15758389007E+0005      0.13850186881E+0005      0.12166401990E+0005      0.10669426907E+0005      0.93702220019E+0004      0.83777001786E+0004      0.75674310212E+0004      0.68406205344E+0004      0.62391908679E+0004      0.56613149985E+0004      0.50963430917E+0004      0.45853585672E+0004      0.41340665875E+0004      0.37531513627E+0004      0.34101999441E+0004      0.30715701327E+0004      0.28044089006E+0004      0.25893762133E+0004      0.23619667789E+0004      0.34173362416E+0004      0.68033360542E+0004      0.84468174197E+0004      0.73443281846E+0004
   ffprime      0.59156138972E+0002      0.18808192644E+0002     -0.17301508329E+0001     -0.85361453968E+0001     -0.11666586570E+0002     -0.13199578093E+0002     -0.13273971571E+0002     -0.97657121380E+0001     -0.61558576823E+0001     -0.47448203067E+0001     -0.36544086720E+0001     -0.27724738614E+0001     -0.20521451114E+0001     -0.14618282605E+0001     -0.97837597993E+0000     -0.57388195378E+0000     -0.22813363347E+0000      0.58789486017E-0001      0.30069693248E+0000      0.51202656361E+0000      0.69759386080E+0000      0.83673118814E+0000      0.91322814114E+0000      0.26350240684E+0000     -0.38500273424E+0000     -0.34582343989E+0000     -0.30395351130E+0000     -0.26775084026E+0000     -0.23227596036E+0000     -0.20094640728E+0000     -0.17404802196E+0000     -0.15278965669E+0000     -0.13489251235E+0000     -0.11695921850E+0000     -0.10239041150E+0000     -0.91166517824E-0001     -0.35090914112E-0001     -0.10895150759E-0001     -0.24493825909E-0001     -0.29853773836E+0000     -0.74340647081E+0000
     kprof      0.15397980235E+0001      0.15252067535E+0001      0.15157538810E+0001      0.15099704958E+0001      0.15027842280E+0001      0.14899468532E+0001      0.14712117580E+0001      0.14501751897E+0001      0.14316689473E+0001      0.14168173857E+0001      0.14049259139E+0001      0.13956602466E+0001      0.13884196542E+0001      0.13827066256E+0001      0.13781657866E+0001      0.13745368515E+0001      0.13716291118E+0001      0.13692947577E+0001      0.13674144610E+0001      0.13658982109E+0001      0.13646862191E+0001      0.13637424500E+0001      0.13632075301E+0001      0.13632228624E+0001      0.13641876715E+0001      0.13669118307E+0001      0.13717091762E+0001      0.13784911833E+0001      0.13872553287E+0001      0.13980539201E+0001      0.14109993929E+0001      0.14262711452E+0001      0.14441364090E+0001      0.14649967024E+0001      0.14894007036E+0001      0.15183242216E+0001      0.15531330223E+0001      0.15947494448E+0001      0.16356610280E+0001      0.16720815980E+0001      0.17181076211E+0001
